,inteiro_teor,ementa
0,"8th class) gmmea / mtr / mass / acnv This document of interlocutory appeal was reviewed, reported and discussed in resource of magazine n ° tst-airr-186540-49.2005.5.02.047, in which casa bahia comercial ltda.
and john martins dos santos and union (pgf) are aggravated.
183/185, which denied following up on its review appeal.
the public labor ministry, invoking the stj's summary 189, opted for the normal continuation of the feat (pages 193).
agreement denied to follow up on its review appeal, the party lodges the present interlocutory appeal, maintaining, in summary, that the appeal must be unblocked.
it appears that the review appeal, although filed in the execution phase, was not based on art.
finally, it should be noted that the allegation of affront to article 5, ii, of the constitution of the republic will not be the object of examination, since it is not included in the reasons for reviewing the appeal, constituting a recursive innovation.
I therefore dismiss the present interlocutory appeal.","interlocutory appeal in review appeal - execution process. social security contribution. wake up.

the admissibility of the review appeal in the process of execution depends on an unequivocal demonstration of direct and literal offense to the constitution, under the terms of art. 896, § 2, of clt and summary 266 of tst. interlocutory appeal that was dismissed."
1,"sdi-1) bp / lc These notices of embargoes of declaration in embargoes of declaration in embargoes of declaration in embargoes in magazine resource n ° tst-ed-ed-ed-e-rr-157100-43.2005.5.17.000, in which it is embargar telemar north east sa and embargada rosana stein lima.
as he was a stranger to the procedural relationship.
maintains that seems to be missing a page or two from the last v. judgment , because in the certificate of judgment (pages 486) it is stated that the embargoes of declaration were accepted to provide clarifications, whereas in the conclusion of the judgment (pages 488) it is stated that the embargoes of declaration were not known.
I determined the presentation of the feat on the table, for judgment, in the regimental form.
vote generic admissibility assumptions are satisfied.
contrary to what sustains the part, there is no omission or contradiction to remedy in the embargoed judgment, which is complete and consistent in the sense of not knowing about the embargoes of declaration opposed by brasil telecom sa, as he is a person alien to the procedural relationship .
it seems that what happened was a material error in the making of the certificate of judgment of fls.","declaration embargoes. host to provide clarification.

embargoes of declaration accepted to, providing the necessary clarifications, enable the correct understanding of the scope of the embargoed decision."
2,"judgment 1st class vmf / rej / pcp / wmc this document of interlocutory appeal was reviewed, reported and discussed in resource of magazine n ° tst-airr-3431-44.2010.5.01.000, in which margarida santana de oliveira is aggravating and lenos car veiculos ltda is aggravated.
aiming at the deconstruction of this file and the consequent processing of the magazine filed on pages 48-52, the author presents an interlocutory appeal, by the draft on pages.
counterclaim and counterclaims offered by the 2nd defendant to pages 59-60 and 61-63. it turns out that the instrument is irregularly formed, since all the pieces necessary for its formation were put together in unauthenticated copies.
the authentication of the parts transferred for the formation of the interlocutory appeal instrument is mandatory, whose non-compliance constitutes deficiency in its formation, according to the art.
830 of the clt, as well as of the normative instruction nº 16/99, item ix, of the tst.
557, caput, of cpc and 897, § 5 and i, of clt.","interlocutory appeal in a magazine resource - no knowledge - absence of authentication.

the authentication of the parts transferred for the formation of the interlocutory appeal instrument is mandatory, whose non-compliance constitutes deficiency in its formation, according to the art. 830 of the clt, as well as of the normative instruction nº 16/99, item ix, of the tst.

interlocutory appeal not known."
3,"judgment 4th class gmfeo / gs / cjj seen, reported and discussed these documents of interlocutory appeal in magazine resource n ° tst-airr-72940-14.2009.5.03.007, in which it is aggravating brf - brasil foods s.a. the regional labor court of the third region denied following up on the appeal filed by the defendant, which gave rise to the filing of this interlocutory appeal.
the records were not sent to the public labor ministry.
knowledge having met the legal assumptions of admissibility of the interlocutory appeal, I know it.
conclusion denego follow-up to journal resource (page 138).
according to the correct motivation of fl.
896 da clt, which is why its processing is not viable.","interlocutory appeal. magazine feature. declaration embargoes. traffic ticket. excess minutes.

none of the hypotheses for the review appeal provided for in art. 896 of clt. grounds for denial decision not unconstituted. interlocutory appeal that was dismissed."
4,"5th class) bp / cr This document of interlocutory appeal was reviewed, reported and discussed in resource of magazine n ° tst-airr-122540-12.2007.5.01.001, in which Banco Bradesco SA is an aggravating factor.
it is an interlocutory appeal filed against the order by which the appeal was denied.
the appeal was not submitted to the opinion of the public labor ministry.
vote the appeals assumptions of the instrument appeal were satisfied.
xxvi, of the constitution of the republic.
having the regional court, based on the evidential set of the records, concluded that the claimant fulfilled the requirements for the provisional guarantee in employment, only with the reexamination of factual-evidential matter, it would be possible to reach an understanding in the opposite sense to that adopted by the court regional, which is defended in this appeal phase the content of the summary 126 of the tst, whose incidence, by itself, prevents the knowledge of the appeal of review, both for violation of the law and for divergence in jurisprudence.","interlocutory appeal.

an interlocutory appeal is denied when its reasons, by means of which it is intended to demonstrate that the review appeal meets the admissibility assumptions set forth in art. 896 of the clt, fail to rule out the fundamentals of the aggravated order."
5,"judgment 3rd class gmhsp / rnq / ct / lr visa, reported and discussed these documents of interlocutory appeal against appeal in magazine resource n ° tst-ag-airr-6840-22.2008.5.02.004, in which union is aggravating (pgf) and aggravating wagner vogelsanger and panamerican administrator of credit cards s / c ltda.
not satisfied, the union aggravates, for the reasons filed on 12/5/2010, intending to reform the decision.
the r. order issued on 4/28/2010, filed by the presidency of tst, with supedaneous in article 897, paragraph 5, of the clt, c / c items iii ex of normative instruction No.
Forcing the records, it appears that the certificate to which the union refers is the one shown on page 115, not 123 as referred to on page 2 of the appeal.
I therefore maintain the dispatch aggravated.
That said, the ministers of the third class of the higher labor court agree, unanimously, to dismiss the appeal.","interlocutory appeal against appeal in magazine appeal. irregularity of instrument formation.

the grounds of the denial order for the follow-up of the interlocutory appeal having been established, the interlocutory appeal for reconsideration prevails, as confirmed the absence of the certificate of subpoena of the regional judgment to the union.

interlocutory appeal dismissed."
6,"the c o rd (6th class class) gmacc / tlo / seen, reported and discussed these records of interlocutory appeal against instrument appeal in magazine resource n ° tst-agr-airr-72240-26.2008.5.08.010, in which the state of pará is aggravated and aggravated by delza santos pereira.
vote 1 - acknowledgment the appeal is timely and the procedural representation is regulated under the terms of oj 52 of sbdi-1 of tst.
satisfied the admissibility assumptions, I know.
16 of this court, I deny following the interlocutory appeal (page 85).
although the aggravating factor demonstrated that he collected several mandatory pieces for the formation of the instrument, he did not even indicate, among them, the publication certificate of the regional judgment, the target of the denied appeal, which makes it impossible to verify the timeliness of the magazine appeal.
Therefore, it is not feasible to analyze the STF's decision in the context of a constitutional complaint.","interlocutory appeal on appeal appeal in a magazine resource.

transfer disability. absence of the publication certificate of the judgment under appeal.

the failure of the monocratic decision to deny the continuation of the interlocutory appeal was not demonstrated. grievance not provided."
7,"judgment 7th class ppm / mmp these visas of embargoes of declaration in the interlocutory appeal were reviewed, reported and discussed in appeal of magazine nº tst-ed-airr-186140-97.2006.5.18.0005, in which state of goiás is embargo and embargo saulo tarsso peixoto.
against the judgment on pages 91/92, which was not aware of the interlocutory appeal, due to the obstacle of the n ° 422 of the tst, the state of goiás opposes embargoes of declaration to the pages.
vote knowledge of declaratory embargoes, since they are regularly opposed.
the hypotheses for the suitability of the declaratory embargoes are restricted to those provided for in articles 535 of the cpc and 897-a of the clt, that is, when there is omission, contradiction or obscurity in the judgment.
correctly applied the number 422 of this court.
the instrument used in order to reform the decision is therefore, I reject declaratory embargoes.","embargoes of declaration on interlocutory appeal in review appeal. absence of omission, obscurity or contradiction.

embargoes of declaration that are rejected, because there was no omission, obscurity or contradiction in the judgment (articles 535 of the cpc and 897-a of the clt)."
8,"judgment 6th class acv / tf / s This document of interlocutory appeal was seen, reported and discussed in resource of magazine n ° tst-airr-9981-65.2010.5.15.000, in which nelson ferreira da silva is aggravated and aggravated by santista textil brasil s.a .. interlocutory appeal brought against r. order that denied following up on the review appeal.
countermeasures and counterarguments were brought.
there was no manifestation by the public labor ministry.
vote reasons for not knowing there is no way of knowing the interlocutory appeal.
under penalty of not knowing, the parties will promote the formation of the interlocutory appeal in order to enable, if provided, the immediate judgment of the denied appeal, item iii of normative instruction No.
897 of the clt and item iii of normative instruction No.
in view of the above, I am not aware of the instrument appeal.","interlocutory appeal. non-knowledge. absence of transfer of all parts.

the instrument is not known when all the pieces named in item i of § 5 of art. 897, as well as those indispensable to disentangle the matter of contested merit."
9,"the c o rd (1st class) gmwoc / ta / as / db visa, reported and discussed these notices of embargoes of declaration in interlocutory appeal in resource of magazine n ° tst-ed-airr-2140-26.2005.5.01.034, in which is embargo national steel company - csn and embargoed aloísio pereira da silva .
against the monocratic decision on pages 240-241, by which the appeal of the instrument was denied, based on art.
marcelo costa mascaro Nascimento and raquel batista rodrigues.
37, sole paragraph, of the cpc does not mean that there is no appeal, as it does not exist, except in the case of tacit mandate, not configured in the records.
13 of the cpc, whose application is restricted to the first degree court.
That said, the ministers of the first class of the higher labor court agree, unanimously, not to be aware of the declaration embargoes, due to irregular representation.","declaration embargoes.

not knowledge. representation irregularity.

the declaration embargoes do not contain knowledge, due to irregularity of representation, insofar as there is no power of attorney in the records constituting the subscribers of this appeal as patrons. the number 164 of the tst applies to the species.

embargoes of declaration that is not known."
